year,waste_cat_en,disposal_q
2009,Municipal solid waste,3271300
2009,Overall construction waste,1139000
2009,Special waste,453700
2010,Municipal solid waste,3326700
2010,Overall construction waste,1308200
2010,Special waste,408400
2011,Municipal solid waste,3283500
2011,Overall construction waste,1215900
2011,Special waste,412800
2012,Municipal solid waste,3395700
2012,Overall construction waste,1258900
2012,Special waste,412400
2013,Municipal solid waste,3484600
2013,Overall construction waste,1310800
2013,Special waste,428000
2014,Municipal solid waste,3570400
2014,Overall construction waste,1438700
2014,Special waste,414300
2015,Municipal solid waste,3707900
2015,Overall construction waste,1533000
2015,Special waste,271400
2016,Municipal solid waste,3786400
2016,Overall construction waste,1618600
2016,Special waste,206600
2017,Municipal solid waste,3917600
2017,Overall construction waste,1535600
2017,Special waste,210100
2018,Municipal solid waste,4171100
2018,Overall construction waste,1489500
2018,Special waste,214300
2019,Municipal solid waste,4035700
2019,Overall construction waste,1440100
2019,Special waste,231700
2020,Municipal solid waste,3956000
2020,Overall construction waste,1251100
2020,Special waste,187600
2021,Municipal solid waste,4145600
2021,Overall construction waste,1330600
2021,Special waste,193200
2022,Municipal solid waste,4061900
2022,Overall construction waste,1506800
2022,Special waste,171100