year,waste_cat_en,recovery_q
2009,Municipal solid waste,3181300
2010,Municipal solid waste,3603400
2011,Municipal solid waste,3019300
2012,Municipal solid waste,2162800
2013,Municipal solid waste,2008700
2014,Municipal solid waste,2053200
2015,Municipal solid waste,2032800
2016,Municipal solid waste,1912300
2017,Municipal solid waste,1830600
2018,Municipal solid waste,1777600
2019,Municipal solid waste,1639000
2020,Municipal solid waste,1537700
2021,Municipal solid waste,1840900
2022,Municipal solid waste,1912800